Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,7511038000
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,23727592000
2018-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,4182983000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,5768585000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,7370798000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,21944297000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,4074943000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2790215000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,689947000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,374996000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1295147000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,62175000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,5840695000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1480426000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1325875000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1070251000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,471288000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,242128000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1116430000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,2906773000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,5727554000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,3223444000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,39314000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,871440000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,5219208000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,15573804000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,1610870000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1276229000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1214476000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,343592000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,4443199000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2228395000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,53405000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,21368653000
2017-12-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,4184885000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,666667000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1576681000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,5519241000
2017-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,7927064000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1268722000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,433595000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,974341000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,58037000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1585235000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,2021220000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,5806676000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,10420801000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,5818775000
2017-09-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2966293000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,6647840000
2017-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,28535061000
2017-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,46347000
2017-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1778914000
2017-06-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1105732000
2017-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,6589833000
2017-06-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,6241667000
2017-06-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1620875000
2017-06-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,447874000
2017-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,26914914000
2017-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,9896068000
2017-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,867295000
2017-06-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,3106975000
2017-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,5402056000
2017-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,36083000
2017-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,4474579000
2017-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1065663000
2017-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,979727000
2017-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,16808437000
2017-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,3721781000
2017-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,3641426000
2017-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,697784000
2017-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,1787653000
2017-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1350109000
2017-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,6717156000
2017-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,292804000
2016-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2016-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2016-12-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1603612000
2016-12-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,480925000
2016-12-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2865367000
2016-12-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,76026000
2016-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2016-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2016-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2016-12-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,973332000
2016-12-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,5608315000
2016-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2016-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2016-09-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,102247000
2016-09-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,611836000
2016-09-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,7797854000
2016-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2016-09-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,2255817000
2016-09-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,4031954000
2016-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2016-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2016-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2016-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2016-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,817188000
2016-06-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,2026513000
2016-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2016-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2016-06-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,798040000
2016-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,88904000
2016-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2016-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2016-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2016-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2016-06-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,556413000
2016-06-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,3693445000
2016-06-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,6835499000
2016-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2016-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2268591000
2016-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2016-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2016-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,3522916000
2016-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1124450000
2016-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2016-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,662056000
2016-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2016-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,50111000
2016-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2016-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,336384000
2015-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2015-12-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,2954673000
2015-12-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,
2015-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2015-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2015-12-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,9235790000
2015-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2015-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2015-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2015-12-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,859028000
2015-12-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,5392648000
2015-12-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,
2015-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2015-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2015-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2015-09-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,151683000
2015-09-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,9422421000
2015-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2015-09-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,1055318000
2015-09-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,3363918000
2015-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1462974000
2015-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2015-09-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,5865258000
2015-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2015-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2015-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2015-06-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,
2015-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2015-06-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,
2015-06-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,
2015-06-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,
2015-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,
2015-06-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,
2015-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2015-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2015-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1186272000
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,407201000
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1022735000
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2116415000
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,2902106000
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2015-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2015-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,64955000
